Rota App.tsx                                            menuCode (matchMenuCode)         Status / Decisão
/app/plano-acoes/dashboard                              plano_acoes_dashboard            OK — coberta
/app/plano-acoes/importar                               plano_acoes_importar             OK — coberta
/app/plano-acoes/kanban                                 plano_acoes_kanban               OK — coberta
/app/pregao                                             pregao                           OK — coberta
/app/presidencia                                        presidencia                      OK — coberta
/app/prontas-contrato                                   prontas-contrato                 OK — coberta
/app/resultado                                          resultado                        OK — coberta
/app/rh/alocacoes                                       alocacoes                        OK — coberta
/app/rh/colaboradores                                   colaboradores                    OK — coberta
/app/rh/folha                                           folha                            OK — coberta
/app/suprimentos/almoxarifados                          almoxarifados                    OK — coberta
/app/suprimentos/aprovacoes                             aprovacoes                       OK — coberta
/app/suprimentos/categorias                             categorias                       OK — coberta
/app/suprimentos/cotacoes                               cotacoes                         OK — coberta
/app/suprimentos/estoque                                estoque                          OK — coberta
/app/suprimentos/fornecedores                           fornecedores                     OK — coberta
/app/suprimentos/movimentos                             movimentos                       OK — coberta
/app/suprimentos/nf-entrada                             nf-entrada                       OK — coberta
/app/suprimentos/pedidos                                pedidos                          OK — coberta
/app/suprimentos/produtos                               produtos                         OK — coberta
/app/suprimentos/produtos-servicos                      produtos-servicos                OK — coberta
/app/suprimentos/recebimentos                           recebimentos                     OK — coberta
/app/suprimentos/requisicoes                            requisicoes                      OK — coberta
/app/triagem                                            triagem                          OK — coberta

=== Sumário ===
Total rotas /app em App.tsx: 99
  Com menuCode (longest-prefix atual): 93
  SEM menuCode: 6
